epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,20824.4,0.47477,0.19098,0.00077,0.97793,0.9681,0.98215,0.92131,0.43346,0.17025,0.00106,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,21170.5,0.48035,0.19496,0.0008,0.98891,0.96647,0.98223,0.92128,0.43254,0.16864,0.00106,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,21514.1,0.47905,0.19706,0.00079,0.99254,0.96417,0.98237,0.92183,0.43091,0.16925,0.00105,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,21856.5,0.47854,0.19328,0.0008,0.98611,0.96644,0.98247,0.92183,0.43013,0.16837,0.00105,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,22199.7,0.47185,0.18975,0.00078,0.98877,0.96685,0.98238,0.9218,0.42929,0.16849,0.00104,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,22541.9,0.47465,0.19532,0.0008,0.99387,0.9613,0.98262,0.92321,0.42747,0.16795,0.00104,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,22885.1,0.47158,0.19604,0.00078,0.99031,0.96616,0.98277,0.92261,0.42709,0.16791,0.00104,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,23227.1,0.46419,0.18748,0.00079,0.99224,0.96268,0.98302,0.92372,0.42634,0.16844,0.00103,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,23569.5,0.46404,0.1868,0.00075,0.98833,0.9621,0.98283,0.92548,0.42543,0.16531,0.00103,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,23912.5,0.46415,0.18855,0.00075,0.99284,0.95668,0.983,0.927,0.42504,0.1656,0.00103,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,24255.5,0.46369,0.19,0.00077,0.99176,0.95712,0.9832,0.92776,0.42428,0.16603,0.00103,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,24597.5,0.46244,0.18698,0.00076,0.983,0.96692,0.98312,0.9288,0.42286,0.16489,0.00103,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,24938,0.45581,0.18526,0.00074,0.98355,0.96851,0.98323,0.92966,0.4221,0.16437,0.00103,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,25277.6,0.45066,0.17993,0.00073,0.98939,0.9633,0.98318,0.93017,0.42108,0.16387,0.00103,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,25616.7,0.45879,0.1867,0.00074,0.98034,0.97028,0.98311,0.93036,0.42086,0.16528,0.00102,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,25955.8,0.44512,0.17639,0.00074,0.99331,0.94794,0.98254,0.92974,0.42019,0.16581,0.00102,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,26294.4,0.44977,0.18045,0.00074,0.98784,0.95739,0.98249,0.93037,0.41939,0.16529,0.00102,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
